NO,CODE,NAME,Address
1,ADM,GEORGE FINLEY BOVARD ADMINISTRATION BUILDING & KENNETH NORRIS JR. AUDITORIUM,3551 TROUSDALE PARKWAY LOS ANGELES CA 90089
3,WPH,WAITE PHILLIPS HALL OF EDUCATION,3470 TROUSDALE PARKWAY LOS ANGELES CA 90089
3.1,SOS,SOCIAL SCIENCES BUILDING,3502 TROUSDALE PARKWAY LOS ANGELES CA 90089
4,VKC,VON KLEINSMID CENTER FOR INTERNATIONAL & PUBLIC AFFAIRS,3518 TROUSDALE PARKWAY LOS ANGELES CA 90089
7,LAW,ELVON & MABEL MUSICK LAW BUILDING (CENTER),699 EXPOSITION BLVD. LOS ANGELES CA 90089
8,BRI,BARRACK HALL,3670 TROUSDALE PARKWAY LOS ANGELES CA 90089
